device_id,day,source,target,weight,distance
982,2019-06-22,6940.0,8726.0,1,[1.753]
2178,2019-06-22,9074.0,9405.0,1,[0.508]
4195,2019-06-22,8542.0,8894.0,1,[3.657]
5274,2019-06-22,9172.0,9428.0,1,[0.921]
5274,2019-06-22,9428.0,9153.0,1,[1.142]
7000,2019-06-22,9031.0,9034.0,1,[0.177]
7000,2019-06-22,9034.0,9153.0,1,[1.175]
7167,2019-06-22,8775.0,8912.0,1,[0.267]
7167,2019-06-23,8773.0,8757.0,1,[0.419]
7167,2019-06-23,8757.0,8767.0,1,[0.426]
7167,2019-06-23,8908.0,8993.0,1,[0.997]
7167,2019-06-23,8993.0,9035.0,1,[0.646]
7167,2019-06-23,9035.0,9021.0,1,[0.528]
7167,2019-06-23,9021.0,9003.0,1,[0.575]
7282,2019-06-23,8763.0,9290.0,1,[1.571]
7446,2019-06-22,9045.0,9114.0,1,[0.443]
9926,2019-06-23,9173.0,9150.0,1,[0.408]
9926,2019-06-23,9150.0,9520.0,1,[2.395]
10941,2019-06-22,9378.0,9339.0,1,[0.683]
10941,2019-06-23,9443.0,8665.0,1,[3.305]
12358,2019-06-23,9074.0,8965.0,1,[1.422]
15963,2019-06-22,9381.0,9127.0,1,[0.973]
17177,2019-06-22,9006.0,9012.0,1,[0.338]
18672,2019-06-22,9035.0,9022.0,1,[0.643]
18672,2019-06-22,9035.0,9149.0,1,[1.311]
18672,2019-06-22,9022.0,9035.0,1,[0.809]
18672,2019-06-22,9149.0,9034.0,1,[1.304]
18672,2019-06-23,9366.0,10550.0,1,[0.385]
19619,2019-06-22,9508.0,9325.0,1,[0.915]
19619,2019-06-22,9325.0,9044.0,1,[1.094]
19619,2019-06-22,9044.0,9508.0,1,[1.501]
19619,2019-06-23,9508.0,10551.0,1,[0.485]
20585,2019-06-22,8749.0,9073.0,1,[1.287]
20585,2019-06-22,9073.0,9131.0,1,[0.57]
21253,2019-06-22,9065.0,8749.0,1,[1.773]
22947,2019-06-22,9172.0,9304.0,1,[0.438]
22947,2019-06-22,9304.0,9172.0,1,[0.438]
22947,2019-06-23,9172.0,9508.0,1,[1.661]
24908,2019-06-23,9060.0,9045.0,1,[0.421]
24908,2019-06-23,9045.0,8882.0,1,[1.264]
25285,2019-06-23,8770.0,9059.0,1,[1.347]
25285,2019-06-23,9443.0,8922.0,1,[2.844]
25285,2019-06-23,8922.0,8887.0,1,[0.429]
31226,2019-06-23,8552.0,9290.0,1,[1.457]
31226,2019-06-23,9290.0,8552.0,1,[1.451]
31720,2019-06-22,9488.0,9324.0,1,[0.979]
31720,2019-06-22,9324.0,8775.0,1,[1.873]
31720,2019-06-22,8775.0,9317.0,1,[1.491]
31720,2019-06-22,9317.0,9345.0,1,[0.532]
32353,2019-06-22,9133.0,9132.0,1,[0.139]
34310,2019-06-22,8381.0,8678.0,1,[1.34]
34932,2019-06-23,9687.0,8268.0,1,[3.956]
35943,2019-06-23,9508.0,9436.0,1,[0.335]
39570,2019-06-23,8895.0,9011.0,1,[1.201]
39570,2019-06-23,9011.0,9385.0,1,[1.203]
39570,2019-06-23,9385.0,8948.0,1,[1.97]
42527,2019-06-23,9295.0,8920.0,1,[1.758]
42527,2019-06-23,8920.0,9132.0,1,[1.485]
43810,2019-06-23,9060.0,9039.0,1,[0.553]
43810,2019-06-23,9039.0,9035.0,1,[0.733]
44158,2019-06-22,9751.0,9288.0,1,[2.626]
44187,2019-06-23,9126.0,8925.0,1,[0.953]
44187,2019-06-23,8925.0,9126.0,1,[0.953]
44525,2019-06-23,8575.0,9740.0,1,[1.073]
45088,2019-06-22,9488.0,9508.0,1,[0.687]
45088,2019-06-22,9508.0,9748.0,1,[2.023]
46945,2019-06-23,9166.0,8991.0,1,[1.419]
46945,2019-06-23,8991.0,8988.0,1,[0.238]
46945,2019-06-23,8988.0,9011.0,1,[0.494]
46945,2019-06-23,9011.0,9168.0,1,[1.056]
46945,2019-06-23,9168.0,9126.0,1,[0.566]
50787,2019-06-22,9508.0,8967.0,1,[2.57]
51084,2019-06-22,8429.0,8324.0,1,[0.702]
51545,2019-06-23,9103.0,9302.0,1,[0.758]
55438,2019-06-23,9035.0,9114.0,1,[1.074]
55758,2019-06-23,9100.0,8895.0,1,[1.16]
58718,2019-06-23,8965.0,8962.0,1,[0.054]
58718,2019-06-23,8962.0,9421.0,1,[2.267]
58718,2019-06-23,9421.0,9387.0,1,[0.554]
58718,2019-06-23,9387.0,9687.0,1,[0.901]
58718,2019-06-23,9687.0,9770.0,1,[1.095]
58718,2019-06-23,9770.0,8749.0,1,[3.06]
58718,2019-06-23,8749.0,9008.0,1,[0.895]
59431,2019-06-23,8911.0,9044.0,1,[1.351]
59431,2019-06-23,9044.0,8911.0,1,[1.357]
61197,2019-06-22,9508.0,8946.0,1,[2.73]
61197,2019-06-22,8946.0,8658.0,1,[0.772]
61197,2019-06-23,8665.0,8921.0,1,[0.581]
61197,2019-06-23,8921.0,9508.0,1,[2.834]
63996,2019-06-23,9767.0,8522.0,1,[1.714]
66378,2019-06-22,9074.0,9109.0,1,[1.231]
66378,2019-06-22,9382.0,8771.0,1,[1.599]
66378,2019-06-22,8771.0,9006.0,1,[0.465]
66378,2019-06-22,9318.0,9107.0,1,[1.002]
66718,2019-06-23,8378.0,8575.0,1,[2.965]
69096,2019-06-23,9403.0,9385.0,1,[0.396]
71096,2019-06-22,9048.0,9412.0,1,[0.97]
71096,2019-06-22,9412.0,9414.0,1,[0.271]
71096,2019-06-22,9414.0,9398.0,1,[0.354]
71096,2019-06-22,9398.0,9421.0,1,[0.286]
71096,2019-06-22,9421.0,9398.0,1,[0.425]
72668,2019-06-23,9174.0,9060.0,1,[0.99]
72668,2019-06-23,9060.0,9174.0,1,[0.993]
72939,2019-06-22,9112.0,9039.0,1,[0.631]
73596,2019-06-23,9439.0,9100.0,1,[1.811]
76486,2019-06-22,9317.0,9166.0,1,[0.574]
77233,2019-06-23,8914.0,8658.0,1,[0.999]
78258,2019-06-22,9295.0,8891.0,1,[2.125]
78258,2019-06-23,8891.0,9373.0,1,[2.624]
