device_id,day,source,target,weight,distance
88142,2019-07-06,9133.0,9132.0,1,[0.035]
90713,2019-07-06,8921.0,9421.0,1,[2.865]
92681,2019-07-07,9288.0,9036.0,1,[0.707]
92959,2019-07-06,8685.0,8678.0,1,[0.072]
98040,2019-07-06,9421.0,9060.0,1,[1.088]
98040,2019-07-06,9060.0,9012.0,1,[0.659]
98848,2019-07-06,9034.0,10550.0,1,[1.8]
99011,2019-07-06,8665.0,9169.0,1,[1.977]
99011,2019-07-07,9038.0,8948.0,1,[1.228]
99017,2019-07-06,9421.0,9074.0,1,[0.493]
101015,2019-07-07,9486.0,9717.0,1,[0.498]
101015,2019-07-07,9717.0,9486.0,1,[0.497]
101250,2019-07-06,8749.0,8387.0,1,[0.611]
104497,2019-07-07,9508.0,9428.0,1,[0.713]
106163,2019-07-06,6940.0,9059.0,1,[2.158]
108075,2019-07-06,9382.0,9034.0,1,[0.995]
114836,2019-07-06,9290.0,9014.0,1,[0.747]
114836,2019-07-07,9014.0,8490.0,1,[2.082]
114836,2019-07-07,8490.0,9014.0,1,[2.077]
116936,2019-07-06,9687.0,8990.0,1,[2.081]
117790,2019-07-06,9069.0,8957.0,1,[1.498]
117790,2019-07-06,8957.0,9012.0,1,[0.53]
117790,2019-07-06,9012.0,9698.0,1,[2.1]
117790,2019-07-06,9698.0,9496.0,1,[1.234]
117790,2019-07-06,9496.0,8749.0,1,[2.834]
117790,2019-07-06,8749.0,8758.0,1,[1.217]
117790,2019-07-06,8758.0,9382.0,1,[1.949]
117790,2019-07-06,9382.0,9035.0,1,[0.936]
117790,2019-07-06,9035.0,9376.0,1,[0.536]
117790,2019-07-07,9382.0,9421.0,1,[0.883]
117790,2019-07-07,9382.0,9114.0,1,[0.865]
117790,2019-07-07,9421.0,9382.0,1,[0.878]
117790,2019-07-07,9114.0,9036.0,1,[0.494]
117790,2019-07-07,9036.0,9069.0,1,[1.007]
117790,2019-07-07,9069.0,9382.0,1,[0.462]
120854,2019-07-07,8768.0,8988.0,1,[0.181]
121472,2019-07-07,8773.0,8895.0,1,[1.112]
123256,2019-07-06,9021.0,9685.0,1,[0.942]
123256,2019-07-07,9021.0,9685.0,1,[0.95]
123516,2019-07-06,9290.0,9172.0,1,[0.467]
123520,2019-07-07,9114.0,9130.0,1,[0.233]
124010,2019-07-06,8749.0,9421.0,1,[2.54]
124010,2019-07-06,9421.0,9031.0,1,[1.465]
126304,2019-07-07,9344.0,7003.0,1,[3.704]
129752,2019-07-07,9437.0,9107.0,1,[1.747]
130098,2019-07-06,8525.0,8948.0,1,[3.528]
130098,2019-07-07,9044.0,8525.0,1,[2.203]
131380,2019-07-07,9397.0,9008.0,1,[1.923]
131380,2019-07-07,9008.0,9129.0,1,[0.796]
134206,2019-07-07,9344.0,9173.0,1,[0.752]
134406,2019-07-06,8895.0,9080.0,1,[0.727]
139334,2019-07-07,8510.0,8979.0,1,[1.129]
139334,2019-07-07,8979.0,8986.0,1,[0.618]
139334,2019-07-07,8986.0,8982.0,1,[0.749]
139760,2019-07-06,9031.0,8665.0,1,[1.77]
140571,2019-07-07,8678.0,8893.0,1,[1.997]
147375,2019-07-06,9039.0,8965.0,1,[0.447]
147375,2019-07-06,8965.0,9167.0,1,[1.085]
147375,2019-07-06,9167.0,9508.0,1,[1.462]
147924,2019-07-06,9068.0,8716.0,1,[2.386]
147924,2019-07-07,9004.0,8989.0,1,[0.784]
147924,2019-07-07,8989.0,9382.0,1,[1.278]
147924,2019-07-07,9382.0,9034.0,1,[0.588]
147924,2019-07-07,9034.0,8716.0,1,[2.048]
148510,2019-07-06,8921.0,8880.0,1,[0.794]
148510,2019-07-06,8880.0,9072.0,1,[1.963]
148510,2019-07-06,9072.0,9034.0,1,[0.399]
154830,2019-07-06,9508.0,9036.0,1,[2.086]
154830,2019-07-07,9340.0,9508.0,1,[0.792]
159939,2019-07-06,9436.0,9495.0,1,[0.533]
159939,2019-07-06,9495.0,9421.0,1,[0.661]
159939,2019-07-06,9421.0,9031.0,1,[1.786]
161623,2019-07-06,9436.0,9420.0,1,[1.23]
161623,2019-07-06,9420.0,9436.0,1,[1.233]
162496,2019-07-07,9152.0,9105.0,1,[0.175]
162647,2019-07-06,9046.0,8988.0,1,[1.196]
162930,2019-07-07,9100.0,9304.0,1,[0.882]
162930,2019-07-07,9304.0,9100.0,1,[0.867]
164157,2019-07-06,9413.0,9324.0,1,[0.219]
165650,2019-07-06,9372.0,9376.0,1,[0.861]
165650,2019-07-06,9376.0,8924.0,1,[1.971]
167045,2019-07-07,9376.0,9736.0,1,[1.258]
169491,2019-07-06,9383.0,6993.0,1,[3.191]
171386,2019-07-06,9069.0,9032.0,1,[0.783]
171448,2019-07-06,9381.0,9072.0,1,[0.591]
172442,2019-07-06,9046.0,9376.0,1,[0.912]
174232,2019-07-07,8991.0,9421.0,1,[1.85]
175357,2019-07-06,8749.0,9022.0,1,[0.546]
175357,2019-07-06,9022.0,9697.0,1,[1.182]
175357,2019-07-06,9697.0,9739.0,1,[0.454]
175357,2019-07-06,9739.0,9044.0,1,[1.742]
175357,2019-07-06,9044.0,9289.0,1,[0.721]
175357,2019-07-06,9289.0,9376.0,1,[0.645]
175357,2019-07-06,9376.0,9289.0,1,[0.637]
175357,2019-07-07,9289.0,9115.0,1,[0.498]
175357,2019-07-07,9115.0,9289.0,1,[0.494]
176070,2019-07-07,9508.0,9439.0,1,[0.515]
176351,2019-07-06,9428.0,9319.0,1,[0.501]
176351,2019-07-06,9319.0,9289.0,1,[0.432]
176351,2019-07-06,9289.0,9413.0,1,[0.845]
176574,2019-07-07,8988.0,8727.0,1,[0.9]
177037,2019-07-06,9421.0,9376.0,1,[0.909]
177037,2019-07-06,9376.0,9718.0,1,[1.173]
177037,2019-07-06,9718.0,9687.0,1,[0.519]
177037,2019-07-06,9687.0,9035.0,1,[1.059]
177037,2019-07-06,9035.0,8988.0,1,[1.236]
177037,2019-07-06,8988.0,9044.0,1,[0.815]
177169,2019-07-07,8662.0,8915.0,1,[0.73]
177169,2019-07-07,8915.0,8771.0,1,[0.014]
178893,2019-07-07,9718.0,9740.0,1,[0.102]
178924,2019-07-06,9169.0,9297.0,1,[0.086]
179439,2019-07-06,8767.0,9421.0,1,[2.581]
179439,2019-07-06,9421.0,9065.0,1,[1.077]
180180,2019-07-06,9074.0,9403.0,1,[0.455]
181298,2019-07-07,9287.0,8912.0,1,[1.612]
181907,2019-07-06,9108.0,8914.0,1,[0.968]
183698,2019-07-07,9676.0,9698.0,1,[0.63]
