device_id,day,source,target,weight,distance
442,2019-06-16,9287.0,9114.0,1,[0.485]
1969,2019-06-16,9411.0,9041.0,1,[0.853]
6131,2019-06-15,9473.0,9407.0,1,[0.72]
6131,2019-06-15,9407.0,9464.0,1,[0.744]
7000,2019-06-15,9319.0,9169.0,1,[0.555]
7404,2019-06-15,8948.0,9129.0,1,[0.968]
7404,2019-06-15,9129.0,9149.0,1,[0.061]
12105,2019-06-15,8694.0,9031.0,1,[1.704]
12105,2019-06-15,9031.0,9130.0,1,[0.928]
12105,2019-06-16,8695.0,9044.0,1,[2.18]
12358,2019-06-15,9008.0,9402.0,1,[1.894]
13106,2019-06-15,9421.0,8505.0,1,[1.654]
13106,2019-06-15,8505.0,8749.0,1,[2.015]
13106,2019-06-15,8749.0,8758.0,1,[0.499]
13106,2019-06-15,8758.0,9173.0,1,[1.75]
13106,2019-06-15,9173.0,9687.0,1,[2.662]
13106,2019-06-15,9173.0,9103.0,1,[0.473]
13106,2019-06-15,9687.0,9104.0,1,[2.537]
13106,2019-06-15,9104.0,9173.0,1,[0.442]
13106,2019-06-15,9103.0,9173.0,1,[0.489]
13106,2019-06-16,9074.0,8749.0,1,[1.871]
13106,2019-06-16,8749.0,9173.0,1,[2.272]
13432,2019-06-15,9398.0,9713.0,1,[1.904]
14324,2019-06-15,9044.0,9337.0,1,[1.075]
17177,2019-06-15,9321.0,9344.0,1,[0.244]
17177,2019-06-15,9344.0,9452.0,1,[1.077]
19619,2019-06-15,9508.0,9340.0,1,[0.758]
19619,2019-06-15,9340.0,9044.0,1,[1.094]
19619,2019-06-15,9044.0,9508.0,1,[1.59]
22580,2019-06-15,9413.0,9172.0,1,[0.908]
22580,2019-06-16,9290.0,9316.0,1,[0.509]
22994,2019-06-15,8916.0,9508.0,1,[2.944]
24684,2019-06-15,9114.0,9420.0,1,[1.251]
24684,2019-06-15,9420.0,9126.0,1,[1.3]
24843,2019-06-15,9378.0,8758.0,1,[1.728]
24843,2019-06-15,8693.0,9126.0,1,[2.731]
24843,2019-06-15,9126.0,8773.0,1,[0.895]
